"id","sku","name","description","measure","price","mrp","on_hand","taxons","has_variants","no_of_variants","deleted_at",
1025788252,,,,"600 ml",23.5,24,1000,,,,,2.083333333
,,,,"1.25 lt",32.3,33,1000,,,,,2.121212121
1025788251,,,,"2 lt",53.9,55,1000,,,,,2
1060501454,,"7up",,,21.6,22,1000,"Groceries/Beverages/Cold Drinks","TRUE",3,,1.818181818
1025788256,,,,"600 ml",21.6,22,1000,,,,,1.818181818
1025788255,,,,"2 lt",53.9,55,1000,,,,,2
1025788254,,,,"2.5 lt",62,75,1000,,,,,17.33333333
1060501455,,"Mountain Dew",,,21.6,22,1000,"Groceries/Beverages/Cold Drinks","TRUE",1,,1.818181818
1025788258,,,,"600 ml",21.6,22,1000,,,,,1.818181818
1060501456,,"Limca",,,22.5,23,1000,"Groceries/Beverages/Cold Drinks","TRUE",1,,2.173913043
1025788260,,,,"600 ml",22.5,23,1000,,,,,2.173913043
1060501457,,"Diet Coke Can",,,24.5,25,1000,"Groceries/Beverages/Cold Drinks","TRUE",1,,2
1025788262,,,,"330 ml",24.5,25,1000,,,,,2
1060501458,,"Thums Up Can",,,19.6,20,1000,"Groceries/Beverages/Cold Drinks","TRUE",1,,2
1025788264,,,,"300 ml",19.6,20,1000,,,,,2
1060501459,,"Coco Cola Can",,,19.6,20,1000,"Groceries/Beverages/Cold Drinks","TRUE",1,,2
1025788266,,,,"330 ml",19.6,20,1000,,,,,2
1060501460,,"Fanta Can",,,19.6,20,1000,"Groceries/Beverages/Cold Drinks","TRUE",1,,2
1025788268,,,,"330 ml",19.6,20,1000,,,,,2
1060501461,,"Sprite Can",,,19.6,20,1000,"Groceries/Beverages/Cold Drinks","TRUE",1,,2
1025788270,,,,"300 ml",19.6,20,1000,,,,,2
1060501462,,"Pepsi Can",,,24.5,25,1000,"Groceries/Beverages/Cold Drinks","TRUE",1,,2
1025788272,,,,"330 ml",24.5,25,1000,,,,,2
1060501463,,"Pepsi Diet Can",,,24.5,25,1000,"Groceries/Beverages/Cold Drinks","TRUE",1,,2
1025788274,,,,"330 ml",24.5,25,1000,,,,,2
1060501464,,"Mirinda Can",,,24.5,25,1000,"Groceries/Beverages/Cold Drinks","TRUE",1,,2
1025788276,,,,"330 ml",24.5,25,1000,,,,,2
1060501465,,"7up Can",,,24.5,25,1000,"Groceries/Beverages/Cold Drinks","TRUE",1,,2
1025788278,,,,"330 ml",24.5,25,1000,,,,,2
1060501466,,"Real Juice Orange",,,70,75,1000,"Groceries/Beverages/Juices","TRUE",1,,6.666666667
1025788280,,,,"1 lt",70,75,1000,,,,,6.666666667
1060501467,,"Real Juice Mixed Fruit",,,70,75,1000,"Groceries/Beverages/Juices","TRUE",1,,6.666666667
1025788282,,,,"1 lt",70,75,1000,,,,,6.666666667
